species,lon,lat
Laetia_corymbulosa,-70.1,-12.57
Laetia_corymbulosa,-70.1,-12.57
Laetia_corymbulosa,-70.1,-12.57
Laetia_corymbulosa,-70.1,-12.57
Laetia_corymbulosa,-72.57,2.62
Laetia_corymbulosa,-75.584,-10.192
Laetia_corymbulosa,-75.584,-10.192
Laetia_corymbulosa,-75.584,-10.192
Laetia_corymbulosa,-75.584,-10.192
Laetia_corymbulosa,-73.857,-4.629
Laetia_corymbulosa,-73.887,-4.633
Laetia_corymbulosa,-69.048,-12.533
Laetia_corymbulosa,-70.11,-12.563
Laetia_corymbulosa,-74.16,2.66
Laetia_corymbulosa,-65.581,-1.856
Laetia_corymbulosa,-60.282,-3.425
Laetia_corymbulosa,-65.28,-7.47
Laetia_corymbulosa,-69.006,-3.465
Laetia_corymbulosa,-63.5,-6.083
Laetia_corymbulosa,-65.28,-7.47
Laetia_corymbulosa,-60.733,-3.233
Laetia_corymbulosa,-60.078,-3.169
Laetia_corymbulosa,-67.952,-9.831
Laetia_corymbulosa,-59.939,-3.243
Laetia_corymbulosa,-62.076,-4.661
Laetia_corymbulosa,-59.962,-3.253
Laetia_corymbulosa,-61.267,-3.006
Laetia_corymbulosa,-52.582,-1.523
Laetia_corymbulosa,-60.025,-3.231
Laetia_corymbulosa,-60.022,-3.218
Laetia_corymbulosa,-72,-1
Laetia_corymbulosa,-54.7,-2.451
Laetia_corymbulosa,-52.55,-0.55
Laetia_corymbulosa,-73.2,-3.67
Laetia_corymbulosa,-62.076,-4.661
Laetia_corymbulosa,-60.733,-3.233
Laetia_corymbulosa,-65.28,-7.47
Laetia_corymbulosa,-61.267,-3.006
Laetia_corymbulosa,-59.962,-3.253
Laetia_corymbulosa,-69.006,-3.465
Laetia_corymbulosa,-52.582,-1.527
Laetia_corymbulosa,-60.078,-3.169
Laetia_corymbulosa,-65.583,-1.859
Laetia_corymbulosa,-67.954,-9.834
Laetia_corymbulosa,-63.5,-6.083
Laetia_corymbulosa,-59.939,-3.243
Laetia_corymbulosa,-60.282,-3.425
Laetia_corymbulosa,-65.28,-7.47
Laetia_corymbulosa,-70.504,-3.736
Laetia_corymbulosa,-58.95,-3.983
Laetia_corymbulosa,-54.7,-2.451
Laetia_corymbulosa,-54.534,-2.524
Laetia_corymbulosa,-72.557,-7.745
Laetia_corymbulosa,-73.4,2.92
Laetia_corymbulosa,-60.733,-3.233
Laetia_corymbulosa,-60.733,-3.233
Laetia_corymbulosa,-73.75,-4.917
Laetia_corymbulosa,-73.667,-4.917
Laetia_corymbulosa,-70.967,-12.117
Laetia_corymbulosa,-74.667,-8.25
Laetia_corymbulosa,-69.083,-12.583
Laetia_corymbulosa,-73.25,-3.75
Laetia_corymbulosa,-73.254,-3.749
Laetia_corymbulosa,-73.2,-3.667
Laetia_corymbulosa,-76.167,-3.75
Laetia_corymbulosa,-74.167,-5.25
Laetia_corymbulosa,-70.543,-3.924
Laetia_corymbulosa,-60.9,-13.583
Laetia_corymbulosa,-75.584,-10.192
Laetia_corymbulosa,-70.25,-12
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-63,-5
Laetia_corymbulosa,-75,-4
Laetia_corymbulosa,-70.25,-12
Laetia_corymbulosa,-63,-5
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-72,-1
Laetia_corymbulosa,-75,-4
Laetia_corymbulosa,-75,-4
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-63,-5
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-65.5,-14
Laetia_corymbulosa,-70.25,-12
Laetia_corymbulosa,-74.14,-9.184
Laetia_corymbulosa,-70.7,-3.79
Laetia_corymbulosa,-70.38,-3.78
Laetia_corymbulosa,-65.086,-4.144
Laetia_corymbulosa,-65.086,-4.144
Laetia_corymbulosa,-54.701,-2.451
Laetia_corymbulosa,-64.833,-4.25
Laetia_corymbulosa,-52.974,-1.892
Laetia_corymbulosa,-53.09,-10.773
Laetia_corymbulosa,-53.09,-10.773
Laetia_corymbulosa,-62.57,-3.568
Laetia_corymbulosa,-60.26,-4.939
Laetia_corymbulosa,-60.25,-4.941
Laetia_corymbulosa,-64.61,-6.69
Laetia_corymbulosa,-62.32,-4.252
Laetia_corymbulosa,-62.55,-4.44
Laetia_corymbulosa,-62.03,-4.371
Laetia_corymbulosa,-62.11,-4.202
Laetia_corymbulosa,-62.57,-4.583
Laetia_corymbulosa,-62.44,-4.492
Laetia_corymbulosa,-54.53,-2.34
Laetia_corymbulosa,-65.13,-2.8
Laetia_corymbulosa,-60,-3.25
